,Date,Dollar_per_MT,BDTI TD3,Flat Rate,Earnings,UL/VLCC Orderbook...3,UL/VLCC Orderbook...4,VLCC Orderbook % Fleet,VLCC Fleet Development...6,VLCC Fleet Development...7,VLCC Fleet - Average Age,VLCC Average Demolition Prices,VLCC Losses...10,VLCC Losses...11,VLCC Demolition...12,VLCC Demolition...13,VLCC Deliveries...14,VLCC Deliveries...15,UL/VLCC Contracting...16,UL/VLCC Contracting...17,UL/VLCC Contracting...18,VLCC Newbuilding Prices,Fujairah Bunker Prices,AG Crude Exports,Net Additions,P.Africa,P.Asia Pacific,P.Europe,P.FSU,P.Latin America,P.Middle East,P.North America,P.Total,UP.Africa,UP.Asia Pacific,UP.Europe,UP.FSU,UP.Latin America,UP.Middle East,UP.North America,UP.Total,Brent,WTI,Dubai,Diff_Dub_WTI,Diff_Brent_Dub,Diff_Brent_WTI,LCOc2.Brent_2,LCOc3.Brent_3,LCOc4.Brent_4,PCAAU00.Dubai_02,PCAAV00.Dubai_03,UL/VLCC Tankers Storage (No.),UL/VLCC Tankers Storage (DWT),Contango_M7-M1,New Addition_Forward,Time Charter 1 year ($/day),VLCC Single Voyage Fixtures,TP.U.S. + Canada,TP.Latin America,TP.Total Europe,TP.Former Soviet Union,TP.Asia-Pacific,TP.Middle East,TP.Africa,Total trade flows,TF.Des_ARA Region,TF.Des_East Asia,TF.Des_Indian Sub-Continent,TF.Des_North West Europe (excl. ARA),TF.Des_PADD 3 (US Gulf Coast),TF.Des_PADD 5 (US West Coast),TF.Des_Red Sea,TF.Des_Southeast Asia,F.Des_AG/ WCI,F.Des_EAF,F.Des_ECI,F.Des_ECSA,F.Des_FE,F.Des_LA,F.Des_MED,F.Des_MED/ BS,F.Des_MED/BS,F.Des_RS,F.Des_SAF,F.Des_SEA,F.Des_UKC,F.Des_USAC,F.Des_USEC,F.Des_USWC,F.Des_WAF,F.Des_WCSA,F.Origin_AG/ WCI,F.Origin_EAF,F.Origin_ECSA,F.Origin_FE,F.Origin_LA,F.Origin_MED,F.Origin_MED/ BS,F.Origin_MED/BS,F.Origin_RS,F.Origin_SAF,F.Origin_SEA,F.Origin_UKC,F.Origin_USAC,F.Origin_USEC,F.Origin_USWC,F.Origin_WAF
0,2010-01-01,20.01168,106.9,18.72,67532.6,198,61549482.0,38.34,535,160.53493,8.62632,375.0,0.0,0.0,1,236000.0,7,2125853.0,2,634493.0,228.0,99.0,481.8,16.04903,0.01,0.0,193.85,85.42,3.49,342.1,514.52,892.42,2031.79,0.0,0.0,610.78,0.0,16.96,0.0,500.56,1128.3,71.46,72.64,71.29,-1.35,-0.11,-1.46,72.08,72.76,73.44,72.11,72.39,0.0,0.0,-1.695,7.0,38200.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2010-04-01,17.518175999999997,93.58,18.72,53740.25,184,57297704.0,35.803,531,160.03393,8.19099,460.0,0.0,0.0,1,245654.0,4,1234710.0,6,1910205.0,646.0,99.75,481.2,16.48315,0.01,93.5,1013.73,1038.68,316.63,603.93,213.33,846.1,4125.91,0.0,77.5,330.61,0.0,229.4,0.0,168.49,806.01,87.44,86.22,85.77,-0.45,1.7,1.25,88.45,89.29,89.97,85.99,86.33,0.0,0.0,-2.913904762,4.0,41400.0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2010-06-01,17.501327999999997,93.49,18.72,56926.95,185,57700265.0,35.88,533,160.81272,8.1343,380.0,0.0,0.0,0,0.0,5,1530400.0,7,2184946.0,680.0,104.0,443.25,15.88385,0.01,0.0,1252.53,603.37,244.0,786.42,0.0,563.1,3449.42,0.0,75.0,221.01,0.0,190.06,0.0,403.95,890.02,75.01,75.37,73.21,-2.16,1.52,-0.64,75.28,75.7,76.17,73.57,74.07,0.0,0.0,-2.649090909,5.0,44500.0,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2012-03-01,16.31014,60.52,26.95,25176.14,122,38507582.0,21.485,588,179.23076,7.54634,460.0,0.0,0.0,1,269065.0,4,1282290.0,0,0.0,0.0,97.0,745.2,18.13957,0.01,0.0,1310.97,985.85,221.49,178.0,765.84,937.88,4400.04,0.0,569.43,836.26,36.13,340.51,0.0,497.41,2279.74,122.88,102.93,120.405,17.48,2.4,19.87,122.08,121.36,120.65,119.83,118.8,0.0,0.0,-12.23236364,4.0,20700.0,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2012-04-01,17.29112,64.16,26.95,31668.42,117,36908919.0,20.541,589,179.68,7.52108,455.0,0.0,0.0,0,0.0,4,1229869.0,0,0.0,0.0,96.5,729.125,18.43523,0.01,0.0,1636.77,1489.11,206.88,244.4,617.93,1024.3,5219.39,0.0,584.99,687.84,160.0,102.43,0.0,477.08,2012.35,119.47,104.89,116.33,11.44,3.14,14.58,119.17,118.8,118.32,116.39,115.85,0.0,0.0,-10.068,4.0,22750.0,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2014-12-01,16.599973000000002,68.51,24.23,74172.33,84,25688366.0,13.204,633,194.55699,8.31016,345.0,0.0,0.0,0,0.0,1,308019.0,1,318926.0,95.53208,97.0,358.75,18.30935,0.0,18.2,370.9,106.59,36.0,180.71,243.16,115.64,1071.21,34.84,47.48,221.62,216.0,325.34,247.9,200.31,1293.5,57.33,53.71,52.89,-0.82,4.66,3.84,58.21,59.19,60.22,54.17,54.99,0.0,0.0,1.371904762,1.0,36500.0,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2015-01-01,16.13291,67.7,23.83,78569.05,84,25699273.0,13.21,633,194.54903,8.38415,322.5,0.0,0.0,0,0.0,1,320840.0,5,1539072.0,487.0,96.5,295.3,18.16484,0.0,82.32258065,196.4,258.89,38.53,431.39,109.42,525.94,1642.89,0.0,11.35,213.49,342.0,382.03,333.6,465.96,1748.43,52.99,47.85,45.3,-2.55,7.65,5.1,53.95,55.0,56.05,46.85,47.7,0.0,0.0,3.811047619,1.0,46600.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2015-05-01,16.059037,67.39,23.83,68411.42,98,29960116.0,15.319,636,195.5795,8.5836,287.5,0.0,0.0,0,0.0,1,313992.0,7,2092783.0,682.0,96.0,379.8,18.28839,0.0,326.1290323,1972.57,1138.16,419.97,421.49,181.1,443.6,4903.01,45.0,121.35,331.39,342.79,264.41,390.68,273.41,1769.03,65.56,60.23,61.2,0.97,4.25,5.22,66.14,66.61,67.04,61.85,61.6,0.0,0.0,-5.575,1.0,46500.0,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2015-07-01,16.804916,70.52,23.83,76724.35,123,37499818.0,19.048,640,196.87353,8.67747,230.0,0.0,0.0,0,0.0,2,627627.0,2,601973.0,191.0,95.5,311.8,19.17806,0.0,161.6129032,1324.55,329.23,311.85,256.68,0.0,158.94,2542.87,8.26,157.34,253.3,466.9,367.41,204.0,314.56,1771.77,52.21,46.77,53.1,6.33,-1.25,5.08,52.85,53.55,54.25,53.0,52.25,0.0,0.0,-5.719818182,2.0,50600.0,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2015-10-01,17.412581,73.07,23.83,84654.64,132,40291136.0,20.243,647,199.04151,8.83153,225.0,0.0,0.0,0,0.0,2,600959.0,3,914252.0,276.0,95.0,245.7,18.94,0.0,116.1290323,2030.38,403.99,1209.41,262.89,704.03,1332.38,6059.2,0.0,340.73,238.3,362.9,948.79,268.19,287.13,2446.05,49.56,46.39,43.29,-3.1,6.21,3.11,50.31,51.11,51.73,45.72,46.59,0.0,0.0,-1.993636364,2.0,52000.0,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
