,Dollar_per_MT,BDTI TD3,Flat Rate,Earnings,UL/VLCC Orderbook...3,UL/VLCC Orderbook...4,VLCC Orderbook % Fleet,VLCC Fleet Development...6,VLCC Fleet Development...7,VLCC Fleet - Average Age,VLCC Average Demolition Prices,VLCC Losses...10,VLCC Losses...11,VLCC Demolition...12,VLCC Demolition...13,VLCC Deliveries...14,VLCC Deliveries...15,UL/VLCC Contracting...16,UL/VLCC Contracting...17,UL/VLCC Contracting...18,VLCC Newbuilding Prices,Fujairah Bunker Prices,AG Crude Exports,Net Additions,P.Africa,P.Asia Pacific,P.Europe,P.FSU,P.Latin America,P.Middle East,P.North America,P.Total,UP.Africa,UP.Asia Pacific,UP.Europe,UP.FSU,UP.Latin America,UP.Middle East,UP.North America,UP.Total,Brent,WTI,Dubai,Diff_Dub_WTI,Diff_Brent_Dub,Diff_Brent_WTI,LCOc2.Brent_2,LCOc3.Brent_3,LCOc4.Brent_4,PCAAU00.Dubai_02,PCAAV00.Dubai_03,UL/VLCC Tankers Storage (No.),UL/VLCC Tankers Storage (DWT),Contango_M7-M1,New Addition_Forward,Time Charter 1 year ($/day),VLCC Single Voyage Fixtures,TP.U.S. + Canada,TP.Latin America,TP.Total Europe,TP.Former Soviet Union,TP.Asia-Pacific,TP.Middle East,TP.Africa,Total trade flows,TF.Des_ARA Region,TF.Des_East Asia,TF.Des_Indian Sub-Continent,TF.Des_North West Europe (excl. ARA),TF.Des_PADD 3 (US Gulf Coast),TF.Des_PADD 5 (US West Coast),TF.Des_Red Sea,TF.Des_Southeast Asia,F.Des_AG/ WCI,F.Des_EAF,F.Des_ECI,F.Des_ECSA,F.Des_FE,F.Des_LA,F.Des_MED,F.Des_MED/ BS,F.Des_MED/BS,F.Des_RS,F.Des_SAF,F.Des_SEA,F.Des_UKC,F.Des_USAC,F.Des_USEC,F.Des_USWC,F.Des_WAF,F.Des_WCSA,F.Origin_AG/ WCI,F.Origin_EAF,F.Origin_ECSA,F.Origin_FE,F.Origin_LA,F.Origin_MED,F.Origin_MED/ BS,F.Origin_MED/BS,F.Origin_RS,F.Origin_SAF,F.Origin_SEA,F.Origin_UKC,F.Origin_USAC,F.Origin_USEC,F.Origin_USWC,F.Origin_WAF
Dollar_per_MT,1.0,0.8580602875412476,0.2845186115510932,0.8398174385309932,0.08213250738490069,0.022859420005828687,0.06884672089042371,-0.11765904247631571,-0.02571348646415099,-0.11629806758376719,-0.02233844087644492,,,-0.25084114665485324,-0.2765320967991893,-0.008266523832219886,-0.03341008017450827,-0.055796430593074264,-0.03965864057433301,-0.012757709164613943,0.34613392385268577,-0.04105855294146676,-0.21629285206959303,0.05613953453850608,-0.16111825249324538,-0.19249373847768358,0.035321084174265965,-0.144324224937952,0.3123457866809451,0.32269297649823514,0.07865340440676419,0.012887655410928962,-0.014121335217690874,0.25305038587082185,0.14714528251039086,-0.2796638368029785,-0.18368982611037182,-0.11575237901824391,-0.022943679178558662,-0.0245315369689314,-0.059881710922667745,-0.0705714819674946,-0.059158175786170775,0.01050872317331955,-0.005483390982720944,0.008872035047138611,-0.052935368313435746,-0.04445671028678511,-0.10692278266579609,-0.05019100559242403,-0.04235459541349174,0.27926021464155104,0.2784413721621578,0.12122547231693313,-0.03287474970037559,0.591240347130347,-0.023527724437216645,-0.22269234881147518,-0.24680447997621374,-0.21817786758974356,-0.19443677879528515,-0.18830223482118524,-0.2209235432916784,-0.2201335279438684,-0.18561926893611963,-0.12023167623319085,-0.1644785961244938,-0.20278186570592246,-0.3910030331329796,-0.361153326462721,-0.23400799784992862,-0.08030803873972998,-0.1599820273742834,-0.024184400982107637,-0.5124652880224125,-0.46729743013609276,0.07998304249920991,0.1052175120867074,-0.1417771892088196,-0.1268093501774422,-0.07688194988436965,-0.3117160259619237,0.3930552191145649,-0.06400618620866078,-0.045485743456392086,-0.05861584504798288,-0.1360032374778857,-0.22436175260400415,-0.20184533006347677,-0.23694000001421145,-0.3704232212957892,0.07548496414865054,-0.5473474719920994,0.18594236240478546,0.07002594757259187,0.03161916347941382,-0.2243634992461973,-0.12323792806929144,-0.5263314386908728,0.012101339837215893,-0.3771657762413761,0.07642471118146692,-0.04198863156019388,-0.2796973109609763,-0.14282596184967597,0.15648510967858248,0.003879662446513989
BDTI TD3,0.8580602875412476,1.0,-0.2290320839292714,0.8647324276197608,0.1596255158474316,0.08944057998930614,0.06932160102692883,0.0811688689191802,0.21792181661644464,0.2224415117401244,-0.2550769187720398,,,-0.21437047551351637,-0.2393822379742805,0.1106054480113708,0.08031831773133645,-0.03306561825479609,-0.011240131434738666,-0.0027796582078286913,0.086107166094572,-0.30724308127694877,0.08950630834078852,0.12319496763753267,-0.019784629375929084,-0.2122277186413287,0.038566123996541336,-0.0031603671638019116,0.3213366582856492,0.3259853405068927,0.10880811564243925,0.056890335666263704,0.19528376748741288,0.15676216107648197,0.01719235971103177,-0.043484231952978125,0.12061844323296937,0.08248628606903458,-0.08460356455091654,0.06920814121077246,-0.33264235361097355,-0.32152184636076625,-0.3277571401309308,-0.20654913104627468,-0.10553829178435722,-0.2463601577175951,-0.3281593876752925,-0.3220696880068348,-0.4224367578012179,-0.3223097726660754,-0.3169734196701914,0.3909276318166509,0.3911612503953099,0.18194950072110952,0.08810270095783906,0.6213197835642309,0.1369990062618597,0.2012587757515929,0.18289122445700212,0.20676690352538107,0.22475151842839805,0.2291842390363366,0.20210573444796198,0.20799003816360664,0.23436083492518692,0.267410806311518,0.248025856522818,0.2226145127718614,0.02353864172633742,0.06306748030974402,0.16573869781556358,0.293051939783743,0.25074878136624035,0.3404692910009643,0.11058150101900256,0.14229665358930196,0.2894030497887952,0.4121221789431728,0.15928544796210561,0.2505849664144799,0.16388175971792848,0.04444047708560485,0.5670052866069658,0.2770760639034375,0.2863219521993336,0.19983666163556213,0.1976615727222925,0.19895079767869214,0.06602210279268877,0.0977669407943621,0.12931200445800498,0.4127847953776953,0.06999196417977653,0.4169792496025698,0.3517121284340741,0.30466509406230896,0.07996070207653319,0.1308505049577943,0.08046671591069746,0.32158516869918063,0.1689485016219889,0.23983337959038653,0.27921824421962094,0.20124492116911916,0.3404682667594191,0.41522423345609255,0.3463111736926573
Flat Rate,0.2845186115510932,-0.2290320839292714,1.0,-0.05084123615828117,-0.17127877160755925,-0.14546289264143375,-0.008239669819038124,-0.4097363248351269,-0.4830005023723976,-0.6947348929944162,0.4517947523454901,,,-0.12154774188445605,-0.12796199784436715,-0.20329611513783868,-0.18682782692269992,-0.0873407462928276,-0.09860737032382628,-0.06360379417391716,0.5030330804501081,0.564469651155173,-0.48033540170106204,-0.090180848892414,-0.23957404480370093,0.011084988202621118,-0.0062894940456218185,-0.2984537924602474,-0.032271470716425596,-0.0006586304406185732,-0.00723548844295363,-0.08664843740225699,-0.42114805968225566,0.14220532081244225,0.2101308809897113,-0.47616724900653024,-0.6185224432162134,-0.43155692056109746,0.08621027642596472,-0.2260714482153345,0.5748870999877154,0.5347347099272012,0.5719884679500458,0.460964603695369,0.13334775101238777,0.5155404335139855,0.5792544593077291,0.5831735714078081,0.6350142644151421,0.5770189157821465,0.5809278539282858,-0.22183660368631483,-0.2238210178681352,-0.16474875650288046,-0.19963728869541267,-0.09045480008131167,-0.3010900353209212,-0.8109570849175128,-0.8206473304525402,-0.8124363685040281,-0.8012553192821498,-0.7974614578603583,-0.8090439932641005,-0.8155808392347997,-0.8013669670421993,-0.7408499514302886,-0.7870168005522639,-0.8053817673102021,-0.8077469796814786,-0.8046430920136647,-0.7603032812531837,-0.7262008907171656,-0.7870472394144408,-0.6501115241325391,-0.8518985791796798,-0.8365008422327748,-0.42166975090154973,-0.5503397890953713,-0.565045808240938,-0.5485309713240831,-0.4076189066889622,-0.658800010171888,-0.30247794704244685,-0.5525217035272305,-0.6119343795778754,-0.4410969381422203,-0.5899582632277697,-0.6813192979378604,-0.43902762500114473,-0.513513281703585,-0.7517854081339949,-0.6022921947908492,-0.8568187592628552,-0.4138059628450771,-0.5037408304881773,-0.5000658157404815,-0.590868501329819,-0.43091334123187863,-0.845004097158908,-0.5460175104210375,-0.8394417762573849,-0.29550202931927555,-0.5826765868788453,-0.8154244835661397,-0.7309333475406581,-0.4882294498924067,-0.6146198017755321
Earnings,0.8398174385309932,0.8647324276197608,-0.05084123615828117,1.0,-0.11130962214318277,-0.12925476883164033,-0.14896627594411016,0.29919352261999493,0.300838356977321,0.3979330006990804,-0.4979128451860726,,,-0.30374095958107916,-0.29672800144239275,-0.1127974822013405,-0.11587565182690639,0.06147179611064906,0.05562869282789971,0.06642358155054014,-0.0372519861738535,-0.596651527431995,0.257463047307836,-0.0386996048699685,0.03535109416971695,-0.14200686815466323,0.047217442130701615,0.1489268804822465,0.3919890675436663,0.38729303610687615,0.01862464909448277,0.1196597287423242,0.3385722565292796,0.32725530699121524,0.2433127052219504,0.11042569551223104,0.1651353033752986,0.3682954265309346,0.2865798103125601,0.350597783616066,-0.6064826575245374,-0.5974370327202716,-0.6049257759718473,-0.36336665664578144,-0.06212115410310403,-0.39697165242375076,-0.5999298767305895,-0.5928790421303584,-0.5867564160094697,-0.5984509285279742,-0.5922683725040881,0.3506487227620916,0.3500806763168009,0.3394416169380167,-0.11279748220134062,0.8220751313527641,0.08637937505250053,0.14023767874589177,0.13889400539722913,0.14674350773984665,0.16540070396695344,0.16714422482878763,0.1402532951164868,0.1497595827860802,0.17197164687810576,0.21735968438305295,0.1843442741150164,0.15292728981056394,-0.011272836201331606,0.025159870020401535,0.09303822323563275,0.24641229388912836,0.19144959028021047,0.24434528781179735,0.024549614261146983,0.06676345952169653,0.29540514238057325,0.3126671013875262,0.133783514515264,0.1746030599958148,0.14449427505260942,0.17568818267146588,0.5048508096469222,0.20154583672482676,0.20316821744960362,0.15916526936830797,0.09808958442795124,0.12780058205759362,0.03991188968992147,0.08874718240677797,0.12152116359517377,0.30635536167341865,0.007893693420969789,0.33772734230477347,0.28920342486705003,0.23797978007283027,0.061193843173526274,0.09087436224353462,0.007743463112360256,0.2489074019058742,0.08962227829991327,0.23207498009475977,0.20604440426324805,0.13158126492414765,0.24182012927121888,0.3941560996490932,0.2579159026342822
UL/VLCC Orderbook...3,0.08213250738490069,0.1596255158474316,-0.17127877160755925,-0.11130962214318277,1.0,0.9994287695236356,0.9757431622566818,-0.6521457665989372,-0.6283233335645315,-0.301657363466908,0.36168406179691176,,,0.020969734779149075,-0.02369868069965686,0.28452000896565427,0.26229270924671844,-0.06727515830081698,-0.048557291817082675,-0.027234457340671675,0.6119935018445426,0.16863743716873472,-0.45536173478736824,0.3264405269794618,-0.36368720010535044,-0.25296064431430243,-0.10716446345331426,-0.35760603502116434,-0.17081370745489388,-0.2564382721928456,0.07819252359646703,-0.28701306673706123,-0.45970866218058626,-0.28952398714614525,-0.2057944925754162,-0.3418771494043169,-0.3827458995215281,-0.4932970984478863,-0.31026816519282485,-0.4396634486810252,0.1801729901814938,0.22483067007608207,0.15230772278988794,-0.19146030340551434,0.372538551279788,-0.07084050095050093,0.18651644279371113,0.19317397878486245,0.13232968956880384,0.16008321177726115,0.16664259227270767,-0.3252917508825988,-0.32485804317934003,0.34710937521203694,0.2724733385220039,0.11650499574400398,-0.3150951179344663,-0.2729059859060339,-0.2481572752149668,-0.2751586877376954,-0.2794320148116303,-0.2841502963108381,-0.26988351496913976,-0.2651490287108292,-0.28366321843201237,-0.2789345860679688,-0.2932454894320877,-0.27108575371439364,-0.1968786913072649,-0.16919526969397108,-0.2501253514405345,-0.28989034857972984,-0.27332971608440415,-0.30098849314676757,-0.17277367920614264,-0.20429248837944564,-0.29976204666892703,-0.35429376810188323,-0.22096467877170306,-0.18283011913953678,-0.10937485413645678,-0.001033769829265454,-0.30806526380496485,-0.18789981528516678,-0.3240568265438951,-0.15086089828132107,-0.2325330590582414,-0.19372450217258524,-0.21605420830681188,-0.1387890100317182,-0.15298936833310392,-0.3422093247734342,-0.16502869813100798,-0.3540008648297485,-0.2311449719512373,-0.3293804439645631,-0.16572834096971342,-0.11090170368817745,-0.1963880541309603,-0.28088270530510845,-0.23384634797499865,-0.30634219723569134,-0.2917800995700278,-0.26269239234178143,-0.2666239995178053,-0.3493529727933685,-0.32207150542617974
UL/VLCC Orderbook...4,0.022859420005828687,0.08944057998930614,-0.14546289264143375,-0.12925476883164033,0.9994287695236356,1.0,0.9802368397673227,-0.6327152981417804,-0.6421507283482418,-0.2508746918532021,0.3889095227720993,,,0.013031940608551855,-0.015578288756275378,0.2747521830460854,0.26487708037272706,-0.060608638354393556,-0.05076076435287783,-0.029309343544248693,0.5934851304664513,0.1364565040275628,-0.4748386711941028,0.32795846194752104,-0.3873378860009753,-0.23418474784786503,-0.08550951320205757,-0.3151235511485059,-0.12975320453112432,-0.2595682956143362,0.05786117880912741,-0.26292444383171176,-0.40200717145243114,-0.19455776418389048,-0.06959420623841304,-0.44090876782564287,-0.33680224780337503,-0.4653577592162641,-0.1652578867001132,-0.37947503851809805,0.1391408075932272,0.18700700394541686,0.11386842890604988,-0.2052951971865054,0.3215895499704262,-0.10797838437326082,0.145914305647269,0.1525838957599808,0.15919707130935515,0.12102120044950662,0.12749669652591736,-0.3310887585906341,-0.33065155431067084,0.33282295279990864,0.2747521830460859,0.10136090632413794,-0.3470466835417554,-0.2877851335685389,-0.2640198322581061,-0.2900642058908879,-0.2943509964905102,-0.2988785612111239,-0.28478821849785224,-0.2803198072693508,-0.29838944223412184,-0.2930700412949499,-0.30772695625766866,-0.28582404162582103,-0.21061783283844765,-0.18317960518059556,-0.2639768286987332,-0.30388986539669455,-0.2881453101492392,-0.31366023930156184,-0.18846913051231226,-0.21657916292552382,-0.31159708127228286,-0.3649566850813399,-0.23206665515689262,-0.19401825190687744,-0.12021074094465387,-0.018878723943405885,-0.31401864845647526,-0.20091091651855494,-0.33584798909738073,-0.16161843357784025,-0.24375242922470883,-0.20756803253276354,-0.2269230791822945,-0.15163185073143018,-0.17113624695159269,-0.35363812957705476,-0.18002495661524645,-0.3631493036815336,-0.24353990694465102,-0.34042449898916344,-0.17687886527212318,-0.12049608059560751,-0.21239463198287678,-0.2928131620377275,-0.2495765302937455,-0.31232401732602866,-0.30287887549510806,-0.27799713374024604,-0.2809300758809929,-0.36045784407293974,-0.334333470307211
VLCC Orderbook % Fleet,0.06884672089042371,0.06932160102692883,-0.008239669819038124,-0.14896627594411016,0.9757431622566818,0.9802368397673227,1.0,-0.7483549080704662,-0.7577614050877733,-0.40375232021418633,0.5092842842790132,,,0.007683669503931493,-0.0229479351895687,0.23831257271755085,0.22949163619731017,-0.04904026089687436,-0.03898265417489251,-0.012126722285255298,0.6724228221300486,0.24820554598705913,-0.6124050859214971,0.31322660702822125,-0.43903428785503656,-0.26110310138224146,-0.09147888816654065,-0.3958423584379196,-0.08138496528293163,-0.2645008118489299,0.05825698536593712,-0.28948267124477656,-0.49480339950436575,-0.18572915816531232,-0.024970643422664147,-0.5596467212749698,-0.4822919542640001,-0.573400374710928,-0.14791957711622508,-0.4623678155582152,0.256500582218131,0.30953870338704975,0.23133474648848013,-0.15867103541971675,0.33114345247646554,-0.056528521224061226,0.26463977432635283,0.2724287758136874,0.28007840387318866,0.2400329012842404,0.24784157188723,-0.3980958377361682,-0.3981114660912219,0.3205906485770247,0.2383125727175509,0.07318873276957288,-0.4451703323423921,-0.43909260163884206,-0.412498896819283,-0.4402015216093914,-0.44400168740972235,-0.44847000668594794,-0.4374116085740084,-0.4308444952245349,-0.4471115086814633,-0.4224729096132435,-0.45517420995493585,-0.4355736046007168,-0.3491483630861083,-0.3158884745185885,-0.41649178245693386,-0.44257298069424933,-0.43529227911932067,-0.42383584599181184,-0.35573505746650547,-0.3153314778873019,-0.39770675419688073,-0.4660692543521634,-0.3195595298790931,-0.291468020831747,-0.18482386849810833,-0.12018838680236417,-0.35210802713037787,-0.3247965169193816,-0.4408972996291195,-0.23887135841309268,-0.3579871978107937,-0.3295749167574825,-0.33689319200148504,-0.24118178753614353,-0.321578996005002,-0.46077171007154394,-0.3333093161299485,-0.44070743562953685,-0.3443887130520577,-0.4354487603086092,-0.28732717172614536,-0.18762442557045497,-0.38014104054341924,-0.39036351493474714,-0.4098606942382684,-0.3510800050566153,-0.3956754723003735,-0.4314725176188457,-0.4114830858577204,-0.44805617834991335,-0.4425153775236294
VLCC Fleet Development...6,-0.11765904247631571,0.0811688689191802,-0.4097363248351269,0.29919352261999493,-0.6521457665989372,-0.6327152981417804,-0.7483549080704662,1.0,0.999763790739136,0.8801700307479037,-0.7018103806124957,,,-0.02972343560935447,0.022632250440884533,-0.033961662771397845,0.019485091043878335,0.03921467840513997,0.010185065480701682,-0.024189714688209213,-0.7065288239561173,-0.6203121600108195,0.7600900265872348,-0.1144274070430698,0.4097306084176042,0.2848100982734833,0.13508183194782925,0.6332530707151893,0.2852849900370237,0.3004732516290728,-0.050947296859305505,0.40500699148899183,0.8884878966680118,0.43027338347090627,0.28525617681711235,0.4368117465422382,0.9007824852124333,0.8318986997369843,0.4871145703927954,0.8004008082052094,-0.6585488644138495,-0.6915950149990715,-0.6300931133496327,-0.11699627708528734,-0.4650071486094231,-0.2752267686394946,-0.6676960288876947,-0.6758411052091626,-0.647351901845047,-0.6403388329150403,-0.6488145390013946,0.759409846964721,0.7600777470994009,-0.25137947785422865,0.01059452267200952,0.16215733748156705,0.5828826499372229,0.8491206756175905,0.7933972498459543,0.847362474096846,0.8557395093063204,0.8644598839910017,0.8499754885342511,0.8317860808425928,0.8590294405078593,0.7891932253405542,0.8742698587827037,0.8405491031956978,0.6678983552819142,0.6016306201889422,0.830467108143115,0.8464731014484655,0.8395261004000855,0.7669077418879682,0.8463943569094192,0.7810299959904745,0.7297991073438432,0.8512290880410985,0.5567204315391242,0.5661425652676718,0.3140993794067474,0.5516407704729259,0.5937962867970027,0.6660410494442883,0.7951461690443254,0.4232426626676124,0.675566801948362,0.6337168324990355,0.7075746347858212,0.45815161362069573,0.7030667670147748,0.8398336263493588,0.8278871738076117,0.7923974476149862,0.6568811405036378,0.7926635525871244,0.5533749235776604,0.321915296736509,0.8533617239786404,0.7136167681805778,0.8561345065970398,0.5947042697812586,0.6970868176961339,0.8560234145452001,0.8112127691719446,0.8055109195279772,0.8018743477785095
VLCC Fleet Development...7,-0.02571348646415099,0.21792181661644464,-0.4830005023723976,0.300838356977321,-0.6283233335645315,-0.6421507283482418,-0.7577614050877733,0.999763790739136,1.0,0.8574977654782932,-0.7083377399418624,,,-0.013437167044175753,0.018840638845414714,0.0025047353273100147,0.011155513797552712,0.019962627473259255,0.011311271518874854,-0.02294254523126652,-0.6920042543908778,-0.5880630672208772,0.7665430745523042,-0.12066572036042415,0.45531108437384793,0.2699137251178057,0.10778910330350157,0.5935518653550982,0.2175425858474209,0.32054574751057796,-0.014046932585296991,0.3842391717989938,0.8532001485340056,0.2849214991743964,0.03040756375945734,0.6148151834174654,0.8940896676439424,0.8138817435064153,0.22665460684207558,0.7635031118833406,-0.619729544290231,-0.6601003819721426,-0.5929414743385252,-0.08266929951254426,-0.3897177562180358,-0.2127749705383317,-0.6302390139783551,-0.6390623673483891,-0.6476779164726799,-0.6031772514009358,-0.6122378343192166,0.7521073804694611,0.7527743361814112,-0.24863123264157233,0.0025047353273100915,0.18285784984614958,0.6764493278479422,0.8449168136829068,0.7902295152836277,0.8431394683341314,0.8514158160237316,0.8599546799702243,0.8458107148902975,0.8278957407164688,0.8545479137187687,0.7850134738427831,0.8695000246274536,0.8363696374769772,0.665296168423062,0.5999946769091301,0.8264171389888816,0.8416099389223991,0.8353078647450345,0.762522195416636,0.8384330487581736,0.7653648812448567,0.7245718505885286,0.8448282702900933,0.5538381438607775,0.5624763995444905,0.31434075538814943,0.539517000758603,0.5880045462864238,0.6629743195919365,0.7898105379791356,0.4222740755545932,0.6720977909188331,0.6310978339817092,0.7021323724565389,0.4569685069199566,0.7004233228351797,0.8339403861033035,0.8186320268404831,0.7859392919185832,0.6539709774747473,0.7871330419237151,0.5509130812671104,0.32161665092317304,0.8464247537535606,0.7091437886134533,0.8503332558323077,0.5887404430292804,0.6925352130236698,0.8511398194530858,0.8055114231243681,0.7992284313928215,0.7967191770304355
VLCC Fleet - Average Age,-0.11629806758376719,0.2224415117401244,-0.6947348929944162,0.3979330006990804,-0.301657363466908,-0.2508746918532021,-0.40375232021418633,0.8801700307479037,0.8574977654782932,1.0,-0.8017978357592731,,,-0.03537164861026439,0.0019259779716589637,0.062498806789473976,0.10723032045657341,0.08882397094432684,0.07070051663259337,0.03867804655718631,-0.6573931341172807,-0.8332177179932386,0.7431486645210716,-0.007268958170898922,0.35000794067418106,0.15713070201570825,0.10066727835161561,0.5971748150721635,0.2508861866721939,0.22953363435597962,-0.038615850484803524,0.31624216204972877,0.8125273002313199,0.27184404392706785,0.1835194576806318,0.5252946581821762,0.8852430048066918,0.8286110648518171,0.37602483622888544,0.7028154008625198,-0.8595983852680595,-0.8540672912338773,-0.8437514997226271,-0.43121688551694465,-0.34194310437396175,-0.5549967241894476,-0.8656566715605044,-0.8707747633134096,-0.865441265715021,-0.850962222322283,-0.8566110821391943,0.6022294338386972,0.6032528064672354,0.07616677192613192,0.1073901757032542,0.3554006396798619,0.49457502694606764,0.9059300580176682,0.8809120935650436,0.9060499750315303,0.9086435603968672,0.9115447651027059,0.9059928770410313,0.8994852942148075,0.9102750058789629,0.8385119491964751,0.9133647503831351,0.8986002442161792,0.7791999893003163,0.7427028742481989,0.8692873423829823,0.8803298271288945,0.8968984025192474,0.782837669382669,0.8921991833016863,0.8070121998855718,0.6985478967506873,0.7888820792019742,0.6269883014387786,0.6087543428982212,0.42373428623726833,0.7185999830482004,0.5172123640952064,0.704623009398028,0.783453252929181,0.5031132451653882,0.6968695853534551,0.7227860123599938,0.6459104426696746,0.5535112844876788,0.8019614256866542,0.8045406082749947,0.8796915400119741,0.6962605459134608,0.6733693081424212,0.7420227670266986,0.6352441655055127,0.42593580500029754,0.89870541041682,0.7116622800697969,0.9042186952127044,0.5149987261509539,0.7107634832126205,0.907715293378362,0.8325988028523409,0.7608309692250235,0.7937312103694245
